bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference
RUN-1001,Skeleton loader não aguardado na validação Cypress,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1001
RUN-1003,Cypress não aguarda estado vazio antes do assert,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Reaberto,2026-06-15,2026-06-20,2026-06-22,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1003
RUN-1004,Connection pool esgotado,Crítico,O SO encerra o processo de coleta de coordenadas em background causando perda de dados de localização,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Timeout no Cluster,Background Services,Location Services,PRD,Em Análise,2026-06-15,2026-06-20,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1004
RUN-1005,Retry logic quebrada em Strava,Crítico,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Reaberto,2026-06-15,2026-06-20,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1005
RUN-1007,Circuit breaker não recupera,Alto,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,HMG,Reaberto,2026-06-15,2026-06-20,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1007
RUN-1008,While-in-use vs always-in-use,Crítico,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1008
RUN-1012,Paginação de cards ignorada no teste,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Reaberto,2026-06-15,2026-06-20,2026-06-22,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1012
RUN-1013,Fila de eventos presa aguardando,Crítico,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Reaberto,2026-06-15,2026-06-20,Bug,yes,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1013
RUN-1020,Filtros de busca não validados,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Em Análise,2026-06-15,2026-06-20,Bug,yes,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1020
RUN-1021,Database lock em queries,Crítico,O cluster retorna timeout durante operações de sincronização em background,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Timeout no Cluster,Backend,Location Services,PRD,Em Análise,2026-06-15,2026-06-20,Bug,yes,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Backend,TRACK-1021
