escopo,cluster_id,hypothesis_id,tipo_lacuna,detalhe,acao_recomendada,status
hipotese,CL-001,HY-001,contraevidencia_ausente,Nao ha contraevidencias registradas para tensionar a hipotese.,Buscar casos que contradigam o mecanismo proposto e anexar evidence_id rastreavel.,requires_human_review
hipotese,CL-001,HY-001,dado_faltante,"Linha do tempo técnica correlacionando mudança, primeira ocorrência e mitigação.",Coletar dado objetivo e anexar evidencia vinculada ao bug/cluster.,requires_human_review
hipotese,CL-001,HY-001,dado_faltante,Teste ou log que falhe antes da correção e passe depois da barreira aplicada.,Coletar dado objetivo e anexar evidencia vinculada ao bug/cluster.,requires_human_review
hipotese,CL-001,HY-001,reproducao_pendente,"Reproduzir o cenário em ambiente controlado, correlacionar logs ou traces com a mudança suspeita e executar o teste de regressão antes e depois da correção proposta.",Executar reproducao controlada pre e pos-correcao para confirmar mecanismo causal.,requires_human_review
hipotese,CL-002,HY-002,contraevidencia_ausente,Nao ha contraevidencias registradas para tensionar a hipotese.,Buscar casos que contradigam o mecanismo proposto e anexar evidence_id rastreavel.,requires_human_review
hipotese,CL-002,HY-002,dado_faltante,"Linha do tempo técnica correlacionando mudança, primeira ocorrência e mitigação.",Coletar dado objetivo e anexar evidencia vinculada ao bug/cluster.,requires_human_review
hipotese,CL-002,HY-002,dado_faltante,Teste ou log que falhe antes da correção e passe depois da barreira aplicada.,Coletar dado objetivo e anexar evidencia vinculada ao bug/cluster.,requires_human_review
hipotese,CL-002,HY-002,reproducao_pendente,"Reproduzir o cenário em ambiente controlado, correlacionar logs ou traces com a mudança suspeita e executar o teste de regressão antes e depois da correção proposta.",Executar reproducao controlada pre e pos-correcao para confirmar mecanismo causal.,requires_human_review
hipotese,CL-003,HY-003,contraevidencia_ausente,Nao ha contraevidencias registradas para tensionar a hipotese.,Buscar casos que contradigam o mecanismo proposto e anexar evidence_id rastreavel.,requires_human_review
hipotese,CL-003,HY-003,dado_faltante,"Linha do tempo técnica correlacionando mudança, primeira ocorrência e mitigação.",Coletar dado objetivo e anexar evidencia vinculada ao bug/cluster.,requires_human_review
hipotese,CL-003,HY-003,dado_faltante,Teste ou log que falhe antes da correção e passe depois da barreira aplicada.,Coletar dado objetivo e anexar evidencia vinculada ao bug/cluster.,requires_human_review
hipotese,CL-003,HY-003,reproducao_pendente,"Reproduzir o cenário em ambiente controlado, correlacionar logs ou traces com a mudança suspeita e executar o teste de regressão antes e depois da correção proposta.",Executar reproducao controlada pre e pos-correcao para confirmar mecanismo causal.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 2.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 3.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 4.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 5.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 6.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 7.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 8.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 9.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 10.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 11.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 12.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 13.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 14.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
base,,,qualidade_missing_id,Issue de qualidade detectada: missing_id na linha fonte 15.,Completar campos obrigatorios no bug report para melhorar inferencia causal segura.,requires_human_review
