id,titulo,severidade,descricao,comportamento_esperado,comportamento_obtido,bug_type,causa_raiz,modulo,ambiente,data_criacao,data_deteccao,data_resolucao,reaberto,notas_dev,notas_qa,versao,time
BUG-101,Sessão expira durante reenvio,alta,Token expira antes do retry de uma operação longa,O retry deve renovar a sessão,O retry reutiliza token expirado e retorna 401,security,implementation,autenticação,produção,2026-05-01T10:00:00Z,2026-05-01T12:00:00Z,2026-05-02T10:00:00Z,sim,Retry mantém o token capturado no início da operação,Reproduzido após aguardar expiração do token,2.4.0,checkout
BUG-102,Retry recebe 401 após token expirado,alta,Operação longa reutiliza token expirado no segundo envio,A credencial deve ser renovada antes do retry,Segundo envio recebe 401 por token expirado,security,implementation,autenticação,produção,2026-05-03T09:00:00Z,2026-05-03T11:00:00Z,2026-05-04T09:00:00Z,não,Token foi armazenado fora do ciclo de retentativa,Cenário ocorre somente depois do tempo de expiração,2.4.0,checkout
BUG-103,Reenvio intermitente falha na autenticação,média,Falha intermitente no retry quando a sessão passa do TTL,O reenvio deve autenticar novamente,API responde unauthorized após o TTL,reliability,unknown,autenticação,staging,2026-05-05T09:00:00Z,2026-05-05T15:00:00Z,2026-05-06T09:00:00Z,não,Logs mostram credencial antiga no reenvio,Teste de longa duração reproduziu 3 de 5 vezes,2.4.0,checkout
BUG-201,Webhook rejeita campo amount,alta,Consumidor rejeita payload após mudança de schema,Contrato versionado deve manter compatibilidade,Webhook retorna 422 para o campo amount,integration,integration-contract,pagamentos,produção,2026-05-10T08:00:00Z,2026-05-10T08:30:00Z,2026-05-10T18:00:00Z,não,Produtor enviou amount como string após deploy,Contract test não cobria a versão anterior,3.1.0,payments
BUG-202,Payload do pagamento incompatível,alta,Schema do webhook mudou tipo do campo amount,O consumidor deve aceitar payload compatível,Consumidor retorna 422 por tipo inválido,integration,integration-contract,pagamentos,produção,2026-05-11T08:00:00Z,2026-05-11T09:00:00Z,2026-05-12T08:00:00Z,sim,Mudança de contrato não foi versionada,QA validou apenas o produtor novo,3.1.0,payments
BUG-203,Contrato antigo quebra no webhook,média,Versão antiga do consumidor não aceita novo payload amount,Evolução do schema deve ser compatível,Webhook antigo rejeita payload novo,integration,unknown,pagamentos,staging,2026-05-12T08:00:00Z,2026-05-12T14:00:00Z,2026-05-13T08:00:00Z,não,Não havia teste produtor consumidor para versões mistas,Cenário de compatibilidade não estava no critério de aceite,3.1.0,payments
BUG-301,Fatura duplicada após timeout,critical,Retentativa cria uma segunda fatura quando ocorre timeout,A operação deve ser idempotente,Duas faturas são persistidas para a mesma chave,data,data-quality,faturamento,produção,2026-05-15T10:00:00Z,2026-05-15T10:15:00Z,2026-05-15T20:00:00Z,sim,Chave de idempotência não possui constraint única,Timeout foi injetado e duplicou a fatura,5.0.0,billing
BUG-302,Retry duplica fatura,critical,Após timeout o retry persiste fatura duplicada,A chave idempotente deve impedir duplicação,Banco contém duas faturas com a mesma chave,data,data-quality,faturamento,produção,2026-05-16T10:00:00Z,2026-05-16T10:12:00Z,2026-05-16T22:00:00Z,não,Validação de idempotência ocorre depois do insert,Teste concorrente reproduziu a duplicação,5.0.0,billing
BUG-401,Botão desalinhado no mobile,baixa,Layout do formulário corta o botão em tela pequena,O botão deve permanecer visível,O botão fica parcialmente fora da tela,visual,implementation,perfil,qa,2026-05-20T10:00:00Z,2026-05-20T11:00:00Z,2026-05-20T16:00:00Z,não,Breakpoint não cobre largura de 320px,Reproduzido em viewport 320px,1.9.0,profile
BUG-402,Formulário corta ação em 320px,baixa,Layout responsivo corta botão principal em tela de 320px,A ação deve permanecer totalmente visível,Parte do botão fica fora do viewport,visual,implementation,perfil,qa,2026-05-21T10:00:00Z,2026-05-21T11:00:00Z,2026-05-21T16:00:00Z,não,CSS usa largura mínima fixa,Cenário não existia na matriz de dispositivos,1.9.0,profile
BUG-501,Feature flag ausente em produção,alta,Deploy iniciou sem a configuração obrigatória,A configuração deve ser validada antes do deploy,Serviço inicia com comportamento padrão incorreto,functional,configuration,catálogo,produção,2026-05-25T08:00:00Z,2026-05-25T08:20:00Z,2026-05-25T12:00:00Z,não,Variável da feature flag não estava no manifesto,Staging tinha valor manual e mascarou o drift,4.2.0,catalog
BUG-502,Drift de configuração altera catálogo,média,Ambiente de produção não contém variável da feature flag,O deploy deve bloquear configuração ausente,Catálogo usa default incorreto,functional,configuration,catálogo,produção,2026-05-26T08:00:00Z,2026-05-26T09:00:00Z,2026-05-26T14:00:00Z,não,Pipeline não valida drift entre ambientes,Homologação possuía configuração manual,4.2.0,catalog

