bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference,source_file,source_row,cluster_id,duplicate_family_id,agent_suggested_severity,agent_suggested_bug_type,agent_suggested_root_cause_category,agent_suggestion_confidence,agent_suggestion_rationale,agent_review_status,cluster_name,cluster_investigation_score,hypothesis_ids,hypothesis_summary,action_ids,requires_human_review
RUN-1001,unknown,Médio,unknown,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),unknown,unknown,HMG,Fechado (Após Reabertura),unknown,unknown,unknown,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,2,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de quebras visuais,36,unknown,unknown,unknown,true
RUN-1003,unknown,Médio,unknown,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),unknown,unknown,HMG,Reaberto,unknown,unknown,unknown,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,3,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de quebras visuais,36,unknown,unknown,unknown,true
RUN-1004,unknown,critical,unknown,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 12; Projeto=RunTrack Pro,functional,Timeout no Cluster,unknown,unknown,PRD,Em Análise,unknown,unknown,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,4,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de quebras visuais,162,HY-001,Mecanismo plausível ligado a process no cluster Cluster de quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1005,unknown,critical,unknown,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,unknown,unknown,PRD,Reaberto,unknown,unknown,unknown,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,5,CL-002,DF-002,unknown,performance,implementation,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de performance,102,HY-002,Mecanismo plausível ligado a implementation no cluster Cluster de performance.,AC-004|AC-005|AC-006,true
RUN-1007,unknown,Alto,unknown,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,unknown,unknown,HMG,Reaberto,unknown,unknown,unknown,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,6,CL-002,DF-002,unknown,performance,implementation,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de performance,102,HY-002,Mecanismo plausível ligado a implementation no cluster Cluster de performance.,AC-004|AC-005|AC-006,true
RUN-1008,unknown,critical,unknown,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 12; Projeto=RunTrack Pro,functional,Permissão de Localização (OS),unknown,unknown,PRD,Fechado (Após Reabertura),unknown,unknown,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,7,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de quebras visuais,162,HY-001,Mecanismo plausível ligado a process no cluster Cluster de quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1012,unknown,Médio,unknown,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),unknown,unknown,HMG,Reaberto,unknown,unknown,unknown,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,8,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de quebras visuais,36,unknown,unknown,unknown,true
RUN-1013,unknown,critical,unknown,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Rate Limit da API de Terceiros,unknown,unknown,PRD,Reaberto,unknown,unknown,unknown,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,9,CL-002,DF-002,unknown,performance,implementation,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de performance,102,HY-002,Mecanismo plausível ligado a implementation no cluster Cluster de performance.,AC-004|AC-005|AC-006,true
RUN-1020,unknown,Médio,unknown,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint=Sprint 12; Projeto=RunTrack Pro,visual,Falso Positivo na Automação (Cypress/Playwright),unknown,unknown,HMG,Em Análise,unknown,unknown,unknown,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,10,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de quebras visuais,36,unknown,unknown,unknown,true
RUN-1021,unknown,critical,unknown,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint=Sprint 12; Projeto=RunTrack Pro,functional,Timeout no Cluster,unknown,unknown,PRD,Em Análise,unknown,unknown,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",unknown,unknown,unknown,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,11,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Cluster de quebras visuais,162,HY-001,Mecanismo plausível ligado a process no cluster Cluster de quebras visuais.,AC-001|AC-002|AC-003,true
