bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference,source_file,source_row,cluster_id,duplicate_family_id,agent_suggested_severity,agent_suggested_bug_type,agent_suggested_root_cause_category,agent_suggestion_confidence,agent_suggestion_rationale,agent_review_status,cluster_name,cluster_investigation_score,hypothesis_ids,hypothesis_summary,action_ids,requires_human_review
UNKNOWN-L2,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [1],Médio,"Pipeline de regressão está passando, mas a tela de histórico fica em branco ao carregar treinos antigos.",A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",unknown,unknown,Falso Positivo na Automação (Cypress/Playwright),unknown,Histórico de Treinos,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,2,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Histórico De Treinos · quebras visuais,18,unknown,unknown,unknown,true
UNKNOWN-L3,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [3],Médio,"Pipeline de regressão está passando, mas a tela de histórico fica em branco ao carregar treinos antigos.",A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",unknown,unknown,Falso Positivo na Automação (Cypress/Playwright),unknown,Histórico de Treinos,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,3,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Histórico De Treinos · quebras visuais,18,unknown,unknown,unknown,true
UNKNOWN-L4,Sincronização com Strava falha silenciosamente [4],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Timeout no Cluster,unknown,Rastreamento GPS,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,4,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
UNKNOWN-L5,Sincronização com Strava falha silenciosamente [5],critical,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,5,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L6,Histórico não carrega dados do último treino longo [7],Alto,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,6,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L7,Distância total diverge em 300m comparado ao relógio [8],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Permissão de Localização (OS),unknown,Rastreamento GPS,unknown,Fechado (Após Reabertura),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,7,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
UNKNOWN-L8,Distância total diverge em 300m comparado ao relógio [12],Médio,"Pipeline de regressão está passando, mas a tela de histórico fica em branco ao carregar treinos antigos.",A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",unknown,unknown,Falso Positivo na Automação (Cypress/Playwright),unknown,Histórico de Treinos,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,8,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Histórico De Treinos · quebras visuais,18,unknown,unknown,unknown,true
UNKNOWN-L9,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [13],critical,"Ao finalizar a corrida, o envio automático do `.fit` para o Strava falha e não notifica o usuário.",O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,unknown,unknown,Rate Limit da API de Terceiros,unknown,Integração Strava,unknown,Reaberto,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,9,CL-002,DF-002,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Integração Strava · quebras visuais,76,HY-002,Mecanismo plausível ligado a implementation no cluster Integração Strava · quebras visuais.,AC-004|AC-005|AC-006,true
UNKNOWN-L10,Testes de carga com k6 apontam gargalo ao salvar rota de GPS [20],Médio,"Pipeline de regressão está passando, mas a tela de histórico fica em branco ao carregar treinos antigos.",A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",unknown,unknown,Falso Positivo na Automação (Cypress/Playwright),unknown,Histórico de Treinos,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,10,CL-005,DF-005,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Histórico De Treinos · quebras visuais,18,unknown,unknown,unknown,true
UNKNOWN-L11,Histórico não carrega dados do último treino longo [21],critical,Linha reta no mapa de GPS quando o celular é bloqueado durante a corrida.,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,unknown,unknown,Timeout no Cluster,unknown,Rastreamento GPS,unknown,Em Análise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,C:\Users\C919409\Downloads\bugs_app_corrida_kpi.csv,11,CL-001,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Rastreamento Gps · quebras visuais,126,HY-001,Mecanismo plausível ligado a process no cluster Rastreamento Gps · quebras visuais.,AC-001|AC-002|AC-003,true
