bug_id,title,severity,description,expected_behavior,actual_behavior,preconditions,bug_type,root_cause_category,root_cause_cluster,affected_module,environment,status,created_at,detected_at,resolved_at,reopened,dev_analysis_notes,qa_analysis_notes,version,team,prd_reference,source_file,source_row,cluster_id,duplicate_family_id,agent_suggested_severity,agent_suggested_bug_type,agent_suggested_root_cause_category,agent_suggestion_confidence,agent_suggestion_rationale,agent_review_status,cluster_name,cluster_investigation_score,hypothesis_ids,hypothesis_summary,action_ids,requires_human_review
RUN-1001,Skeleton loader não aguardado na validação Cypress,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1001,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,2,CL-001,DF-004,unknown,functional,implementation,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1003,Cypress não aguarda estado vazio antes do assert,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Reaberto,2026-06-15,2026-06-20,2026-06-22,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1003,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,3,CL-001,DF-004,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1004,Connection pool esgotado,critical,O SO encerra o processo de coleta de coordenadas em background causando perda de dados de localização,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Timeout no Cluster,Background Services,Location Services,PRD,Em Análise,2026-06-15,2026-06-20,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1004,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,4,CL-002,DF-001,critical,visual,process,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
RUN-1005,Retry logic quebrada em Strava,critical,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Reaberto,2026-06-15,2026-06-20,unknown,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1005,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,5,CL-001,DF-002,unknown,performance,integration-contract,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1007,Circuit breaker não recupera,Alto,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,HMG,Reaberto,2026-06-15,2026-06-20,unknown,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1007,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,6,CL-001,DF-002,unknown,performance,integration-contract,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1008,While-in-use vs always-in-use,critical,App não solicita permissão de localização em background causando perda de dados de GPS,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Permissão de Localização (OS),Permissions,Location Services,PRD,Fechado (Após Reabertura),2026-06-15,2026-06-20,2026-06-22,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Mobile Dev,TRACK-1008,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,7,CL-002,DF-001,critical,security,process,medium,As regras encontraram 4 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
RUN-1012,Paginação de cards ignorada no teste,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Reaberto,2026-06-15,2026-06-20,2026-06-22,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1012,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,8,CL-001,DF-004,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1013,Fila de eventos presa aguardando,critical,API de terceiros retorna rate limit ou timeout causando loading infinito sem fallback,O treino deve aparecer no feed do Strava em até 1 minuto ou exibir modal de 'Tentar Novamente'.,Loading infinito na tela de resumo e o treino fica preso localmente.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,visual,Rate Limit da API de Terceiros,Integration Services,Strava Sync,PRD,Reaberto,2026-06-15,2026-06-20,unknown,true,Precisamos implementar uma fila assíncrona no cluster com fallback.,Simulei latência de rede e a request dá timeout.,1.2.3,Backend,TRACK-1013,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,9,CL-001,DF-002,unknown,performance,integration-contract,medium,As regras encontraram 3 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1020,Filtros de busca não validados,Médio,O Cypress valida apenas a existência do container sem verificar a renderização dos cards,A automação deve validar a renderização da lista de corridas.,"O Cypress está validando apenas se o container `<div id='history'>` existe, ignorando se os cards foram renderizados.",Sprint 12; Projeto=RunTrack Pro; Ambiente=HMG,visual,Falso Positivo na Automação (Cypress/Playwright),Test Automation,UI Components,HMG,Em Análise,2026-06-15,2026-06-20,unknown,true,Ciente.,Refatorando o script do Playwright para esperar o state networkidle antes de fazer o assert.,1.2.3,QA Automation,TRACK-1020,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,10,CL-001,DF-004,unknown,visual,implementation,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,175,HY-001,Mecanismo plausível ligado a implementation no cluster Bug · quebras visuais.,AC-001|AC-002|AC-003,true
RUN-1021,Database lock em queries,critical,O cluster retorna timeout durante operações de sincronização em background,O app deve continuar coletando as coordenadas em background.,O sistema operacional mata o processo de background e o GPS desenha uma reta entre o ponto de bloqueio e desbloqueio.,Sprint 12; Projeto=RunTrack Pro; Ambiente=PRD,functional,Timeout no Cluster,Backend,Location Services,PRD,Em Análise,2026-06-15,2026-06-20,unknown,true,Faltou atualizar a capability de 'Background Modes' no build.,"Testado correndo 5km na rua. Relógio marcou certo, app cortou caminho.",1.2.3,Backend,TRACK-1021,C:\Users\C919409\OneDrive - Anheuser-Busch InBev\My Documents\rca-agent-lab\.worktrees\rca-agentic-v1\reports\run-20260723-bugs-app-corrida-kpi\bugs_app_corrida_kpi_canonico.csv,11,CL-002,DF-001,unknown,visual,process,medium,As regras encontraram 2 sinais textuais relevantes; a classificação reportada foi avaliada como conflicting. Requer revisão humana.,conflicting,Bug · quebras visuais,162,HY-002,Mecanismo plausível ligado a process no cluster Bug · quebras visuais.,AC-004|AC-005|AC-006,true
